Date,Closing Price,Daily Tweets,Sentiment Score
2019-01-02,5.07,17.0,0.2514647058823529
2019-01-03,5.04,58.0,0.15747241379310348
2019-01-04,5.32,29.0,0.2711586206896551
2019-01-07,5.48,19.0,0.13928947368421055
2019-01-08,5.22,29.0,0.1432448275862069
2019-01-09,5.34,12.0,0.150525
2019-01-10,5.42,9.0,0.24649999999999997
2019-01-11,5.47,12.0,0.054766666666666665
2019-01-14,5.5,11.0,0.24266363636363633
2019-01-15,5.48,1.0,0.29600000000000004
2019-01-16,5.42,11.0,0.29622727272727273
2019-01-17,5.49,23.0,0.2761304347826087
2019-01-18,5.43,16.0,0.27887500000000004
2019-01-22,5.22,6.0,0.09866666666666668
2019-01-23,5.19,14.0,0.021278571428571428
2019-01-24,5.49,16.0,0.16536250000000002
2019-01-25,5.51,19.0,0.29493157894736843
2019-01-28,5.56,17.0,0.2733470588235295
2019-01-29,5.46,12.0,0.17790833333333333
2019-01-30,5.64,14.0,0.1851642857142857
2019-01-31,5.81,8.0,0.3191125
2019-02-01,5.61,25.0,0.19291600000000003
2019-02-04,5.62,8.0,0.16983749999999997
2019-02-05,5.86,7.0,0.024914285714285746
2019-02-06,5.74,11.0,0.009045454545454558
2019-02-07,5.89,12.0,0.24045833333333333
2019-02-08,5.71,19.0,0.11409473684210528
2019-02-11,5.81,17.0,0.2702058823529412
2019-02-12,5.8,23.0,0.2412521739130435
2019-02-13,5.94,14.0,0.20462142857142865
2019-02-14,6.29,26.0,0.08672692307692308
2019-02-15,5.92,28.0,0.1068
2019-02-19,6.26,34.0,0.2776
2019-02-20,6.19,42.0,0.2590142857142857
2019-02-21,6.5,63.0,0.1004952380952381
2019-02-22,6.54,110.0,0.1241081818181818
2019-02-25,6.33,25.0,0.23010000000000003
2019-02-26,6.45,24.0,0.1555416666666667
2019-02-27,6.44,15.0,0.16461333333333333
2019-02-28,6.45,25.0,0.21968000000000004
2019-03-01,6.47,5.0,0.08654
2019-03-04,6.43,17.0,0.2882588235294118
2019-03-05,6.37,19.0,0.27350000000000013
2019-03-06,6.28,16.0,0.36215
2019-03-07,6.13,17.0,0.2957529411764706
2019-03-08,6.15,18.0,0.19487777777777776
2019-03-11,6.51,28.0,0.3885964285714286
2019-03-12,6.39,17.0,0.25083529411764705
2019-03-13,6.53,26.0,0.17162692307692312
2019-03-14,6.43,33.0,0.3001303030303031
2019-03-15,6.34,15.0,0.15487333333333334
2019-03-18,6.44,8.0,0.26725
2019-03-19,6.65,24.0,0.26347500000000007
2019-03-20,6.71,21.0,0.3088666666666667
2019-03-21,6.5,23.0,0.11972173913043478
2019-03-22,6.14,17.0,0.1918764705882353
2019-03-25,6.14,12.0,0.30136666666666667
2019-03-26,6.22,40.0,0.12441999999999998
2019-03-27,6.25,44.0,0.06456136363636365
2019-03-28,6.44,19.0,0.19431052631578946
2019-03-29,6.51,14.0,0.12569999999999998
2019-04-01,6.77,12.0,0.21195833333333333
2019-04-02,6.9,31.0,0.3409999999999999
2019-04-03,7.24,16.0,0.0728625
2019-04-04,7.3,15.0,0.21446666666666667
2019-04-05,7.4,17.0,0.1769941176470588
2019-04-08,7.62,19.0,0.2684578947368421
2019-04-09,7.47,20.0,0.19904000000000002
2019-04-10,7.8,172.0,0.20881744186046508
2019-04-11,7.72,42.0,0.28374999999999995
2019-04-12,7.59,25.0,0.25129200000000007
2019-04-15,7.47,11.0,0.16686363636363635
2019-04-16,7.58,12.0,0.34766666666666673
2019-04-17,7.51,22.0,0.3700909090909091
2019-04-18,7.43,17.0,0.2811176470588235
2019-04-22,7.48,19.0,0.20862631578947372
2019-04-23,7.54,37.0,0.14168918918918919
2019-04-24,7.57,24.0,0.17173750000000002
2019-04-25,7.48,18.0,0.24993333333333334
2019-04-26,7.62,12.0,0.27675
2019-04-29,7.65,12.0,0.21619166666666667
2019-04-30,7.22,17.0,0.3483117647058824
2019-05-01,7.17,19.0,0.022663157894736843
2019-05-02,7.2,63.0,0.1388507936507937
2019-05-03,7.54,76.0,0.16194473684210517
2019-05-06,7.56,37.0,0.1089810810810811
2019-05-07,7.78,26.0,0.20585
2019-05-08,7.58,41.0,0.30231463414634163
2019-05-09,7.38,18.0,0.15793333333333337
2019-05-10,8.2,15.0,0.18125999999999998
2019-05-13,7.97,17.0,0.06731764705882354
2019-05-14,7.97,14.0,0.39907857142857134
2019-05-15,8.12,17.0,0.22699411764705885
2019-05-16,8.38,17.0,0.18224117647058824
2019-05-17,8.0,9.0,0.1409111111111111
2019-05-20,7.91,15.0,0.24919333333333332
2019-05-21,8.2,17.0,0.42076470588235293
2019-05-22,8.14,11.0,0.26032727272727274
2019-05-23,7.73,10.0,0.21392000000000003
2019-05-24,7.78,8.0,0.24927500000000002
2019-05-28,7.85,8.0,0.38725000000000004
2019-05-29,7.72,8.0,0.3263375
2019-05-30,7.86,34.0,0.30391176470588244
2019-05-31,7.46,14.0,0.3642285714285714
2019-06-03,7.59,13.0,0.2938
2019-06-04,8.16,20.0,0.204445
2019-06-05,8.15,31.0,0.10950645161290322
2019-06-06,8.35,14.0,0.15717142857142857
2019-06-07,8.34,18.0,0.17234999999999998
2019-06-10,8.4,17.0,0.23811764705882354
2019-06-11,8.46,15.0,0.1852466666666667
2019-06-12,7.96,33.0,0.19499090909090913
2019-06-13,8.46,28.0,0.0999214285714286
2019-06-14,8.24,14.0,0.18357142857142858
2019-06-17,8.28,5.0,0.42034000000000005
2019-06-18,10.15,25.0,0.23306800000000003
2019-06-19,10.46,13.0,0.3041461538461539
2019-06-20,10.47,15.0,0.3900600000000001
2019-06-21,10.34,13.0,0.40500000000000014
2019-06-24,10.33,10.0,0.13095
2019-06-25,10.0,5.0,0.32636
2019-06-26,10.16,7.0,0.25241428571428576
2019-06-27,10.54,32.0,0.19782187499999998
2019-06-28,10.69,21.0,0.2940619047619048
2019-07-01,11.23,8.0,0.3055875
2019-07-02,11.29,29.0,0.30416551724137936
2019-07-03,11.47,6.0,0.1843
2019-07-05,11.99,13.0,0.16763076923076922
2019-07-08,12.39,10.0,0.26596
2019-07-09,12.47,11.0,0.2246090909090909
2019-07-10,12.13,14.0,0.1642357142857143
2019-07-11,11.69,7.0,0.4361857142857143
2019-07-12,11.66,10.0,0.16058
2019-07-15,11.5,6.0,0.3347333333333333
2019-07-16,11.4,10.0,0.24629999999999996
2019-07-17,11.04,5.0,0.15096
2019-07-18,10.91,6.0,0.34298333333333336
2019-07-19,10.99,8.0,0.14745000000000003
2019-07-22,10.7,4.0,0.24865
2019-07-23,10.59,12.0,0.18795833333333334
2019-07-24,10.29,11.0,0.42219090909090917
2019-07-25,10.21,20.0,0.26935499999999996
2019-07-26,10.26,8.0,0.10292499999999999
2019-07-29,10.76,15.0,0.31
2019-07-30,10.8,23.0,0.3686
2019-07-31,11.69,25.0,0.29467200000000005
2019-08-01,14.52,113.0,0.11298407079646017
2019-08-02,15.1,64.0,0.078796875
2019-08-05,13.44,22.0,0.10987727272727275
2019-08-06,13.47,22.0,0.17828636363636363
2019-08-07,14.75,47.0,0.21553191489361714
2019-08-08,14.54,25.0,0.18396800000000005
2019-08-09,14.31,8.0,0.45757499999999995
2019-08-12,13.21,4.0,0.1147
2019-08-13,13.42,8.0,0.1306375
2019-08-14,12.37,7.0,0.25625714285714285
