Year-Week,COENF,DNNGY,DQ,ENPH,FSLR,GCTAY,ORA,RUN,SCTY,SPWR,TSLA,VWDRY
2008-03,6.18,,,,172.56875,,41.6275,,,73.6675,,29.8875
2008-04,5.57,,,,184.192,,42.622,,,71.86600000000001,,32.370000000000005
2008-05,5.55,,,,176.27996,,40.74399999999999,,,66.536,,33.702
2008-06,5.55,,,,207.43199999999996,,41.803999999999995,,,77.022,,34.55
2008-07,5.55,,,,213.06855,,43.5075,,,72.03,,35.3
2008-08,5.55,,,,213.53824,,44.274,,,68.072,,36.026
2008-09,5.55,,,,205.7732,,43.634,,,65.30602,,35.71
2008-10,5.87,,,,197.7376,,42.35,,,60.652,,35.71
2008-11,7.15,,,,197.1375,,41.625,,,58.6,,35.71
2008-12,7.15,,,,221.11800000000002,,42.144,,,71.704,,35.71
2008-13,7.15,,,,249.56400000000002,,45.278000000000006,,,81.208,,35.71
2008-14,7.15,,,,270.722,,46.21400000000001,,,88.152,,35.71
2008-15,7.15,,,,286.09602,,48.660000000000004,,,91.542,,35.71
2008-16,7.15,,,,289.552,,49.28,,,89.566,,35.71
2008-17,7.15,,,,280.40402,,50.586,,,85.256,,35.71
2008-18,7.15,,,,276.908,,52.053999999999995,,,82.986,,35.71
2008-19,7.15,,,,302.936,,50.242,,,90.348,,35.71
2008-20,7.15,,,,284.86400000000003,,49.58,,,86.22999999999999,,35.71
2008-21,7.15,,,,264.495,,49.192499999999995,,,80.84,,35.71
2008-22,7.55,,,,252.76999999999998,,51.624,,,79.316,,35.71
2008-23,7.55,,,,255.858,,53.105999999999995,,,74.898,,35.71
2008-24,7.55,,,,275.582,,54.07000000000001,,,83.00800000000001,,35.71
2008-25,7.55,,,,281.174,,51.553999999999995,,,78.78,,35.71
2008-26,7.55,,,,261.2475,,48.405,,,66.4425,,35.71
2008-27,7.55,,,,268.65999999999997,,46.794,,,66.28999999999999,,35.71
2008-28,7.55,,,,281.85,,47.356,,,76.29999999999998,,35.71
2008-29,7.55,,,,266.78000000000003,,47.018,,,76.176,,35.71
2008-30,7.55,,,,279.048,,46.486000000000004,,,76.982,,35.71
2008-31,7.55,,,,264.87399999999997,,46.986,,,74.42800000000001,,35.71
2008-32,7.55,,,,256.67600000000004,,48.164,,,80.61599999999999,,35.71
2008-33,7.55,,,,270.148,,49.232000000000006,,,92.226,,35.71
2008-34,7.55,,,,275.09,,49.910000000000004,,,94.51599999999999,,35.71
2008-35,7.55,,,,245.22,,46.0475,,,86.725,,35.71
2008-36,7.55,,,,211.70800000000003,,41.88,,,80.80799999999999,,35.71
2008-37,7.55,,,,218.98200000000003,,40.414,,,79.33000000000001,,35.71
2008-38,7.55,,,,216.76999999999998,,41.412,,,89.04400000000001,,35.71
2008-39,7.55,,,,181.506,,34.428000000000004,,,69.58399999999999,,35.71
2008-40,7.55,,,,130.138,,26.433999999999997,,,50.202,,35.71
2008-41,7.55,,,,137.45999999999998,,29.377999999999997,,,48.104,,35.71
2008-42,7.55,,,,133.53,,27.494,,,45.788,,35.71
2008-43,7.55,,,,125.104,,23.576,,,36.758,,13.23
2008-44,7.55,,,,156.958,,26.689999999999998,,,38.89,,16.13
2008-45,7.55,,,,124.30999999999999,,28.636000000000003,,,27.93,,15.014
2008-46,7.55,,,,101.456,,26.26,,,23.747999999999998,,12.808000000000002
2008-47,7.55,,,,120.60499999999999,,29.445,,,31.8925,,15.225000000000001
2008-48,7.55,,,,122.11599999999999,,29.284,,,31.191999999999997,,14.84
2008-49,7.55,,,,121.224,,30.746000000000002,,,32.416000000000004,,16.478
2008-50,7.55,,,,131.66199999999998,,30.518000000000008,,,33.86,,17.866
2008-51,7.55,,,,134.78,,29.222499999999997,,,34.4525,,18.41
2008-52,7.55,,,,136.53333333333333,,30.180000000000003,,,36.233333333333334,,19.243333333333332
2009-00,7.55,,,,151.5,,32.01,,,41.4,,21.0
2009-01,7.55,,,,155.582,,32.08800000000001,,,40.754000000000005,,20.688
2009-02,7.55,,,,142.482,,29.806,,,33.398,,18.79
2009-03,7.55,,,,138.4975,,30.05,,,30.695000000000004,,17.23
2009-04,7.55,,,,141.14000000000001,,31.998,,,30.214,,17.214000000000002
2009-05,7.55,,,,143.946,3.29,33.998000000000005,,,34.086,,16.1
2009-06,7.55,,,,146.21599999999998,3.4579999999999997,33.172000000000004,,,35.012,,16.740000000000002
2009-07,4.25,,,,132.04000000000002,3.35,31.735000000000003,,,31.827499999999997,,16.725
2009-08,3.15,,,,116.18199999999999,3.35,27.689999999999998,,,30.165999999999997,,15.156
2009-09,3.15,,,,109.18799999999999,2.65,23.432,,,25.002,,13.414000000000001
2009-10,3.15,,,,120.826,2.65,24.57,,,23.851999999999997,,13.608
2009-11,3.15,,,,120.926,2.65,26.572000000000003,,,22.542,,14.64
2009-12,3.15,,,,138.50799999999998,2.7199999999999998,27.648000000000003,,,24.956000000000003,,14.858
2009-13,3.15,,,,135.472,2.84,27.839999999999996,,,24.484,,15.983999999999998
2009-14,3.15,,,,137.255,3.115,29.5575,,,24.2575,,17.0155
2009-15,3.15,,,,146.436,3.382,31.136000000000003,,,26.214,,18.113999999999997
2009-16,3.15,,,,143.09,3.25,31.169999999999998,,,25.633999999999997,,18.171999999999997
2009-17,3.15,,,,163.70199999999997,3.6740000000000004,33.525999999999996,,,25.16,,21.078000000000003
2009-18,3.15,,,,194.209,4.042,36.736000000000004,,,29.04,,25.006
2009-19,3.75,,,,184.32800000000003,3.9799999999999995,38.576,,,26.1,,24.125999999999998
2009-20,3.75,,,,192.38400000000001,4.35,36.78,,,27.232,,25.514
2009-21,3.75,,,,183.56,4.675,38.3,,,28.0075,,24.955
2009-22,3.75,,,,183.684,4.372,40.606,,,29.983999999999998,,24.16
2009-23,3.75,,,,184.3,4.074,40.604,,,31.380000000000003,,24.47
2009-24,3.75,,,,172.608,3.904,39.344,,,28.774,,23.74
2009-25,3.75,,,,163.622,3.6800000000000006,39.596000000000004,,,26.804000000000002,,23.205999999999996
2009-26,3.75,,,,157.22249999999997,3.9375000000000004,40.65,,,26.5425,,23.85
2009-27,3.75,,,,146.62600000000003,3.7079999999999997,37.13,,,23.488,,22.754
2009-28,3.75,,,,145.13400000000001,3.6719999999999997,38.634,,,23.296,,23.816
2009-29,3.75,,,,156.12199999999999,3.992,39.21,,,25.618000000000002,,24.298
2009-30,3.75,,,,167.066,4.29,39.4,,,31.816000000000003,,23.29
2009-31,3.75,,,,148.466,4.31,39.767999999999994,,,31.401999999999997,,23.602
2009-32,3.75,,,,145.07999999999998,4.484,37.936,,,29.148000000000003,,24.555999999999997
2009-33,3.75,,,,130.188,4.446,36.688,,,26.524,,24.262
2009-34,3.75,,,,125.82000000000001,4.622,37.315999999999995,,,26.162,,24.5
2009-35,4.15,,,,119.258,4.45,35.56,,,25.127999999999997,,24.238
2009-36,4.15,,,,136.98,4.655,37.8525,,,27.935000000000002,,25.65
2009-37,4.15,,,,145.482,4.790000000000001,39.501999999999995,,,31.453999999999997,,24.936
2009-38,4.15,,,,153.95,4.7,39.14,,,31.326,,23.994
2009-39,4.15,,,,149.35,4.558,40.297999999999995,,,29.32,,23.56
2009-40,4.15,,,,153.498,4.318,40.147999999999996,,,29.742,,22.574
2009-41,4.15,,,,153.78799999999998,4.1259999999999994,40.965999999999994,,,32.368,,21.857999999999997
2009-42,4.15,,,,153.924,3.9580000000000006,40.324,,,32.184,,22.558
2009-43,4.15,,,,141.01400000000004,3.904,38.504,,,25.951999999999998,,23.22
2009-44,4.15,,,,121.298,3.7700000000000005,37.27,,,25.732,,24.11
2009-45,4.15,,,,118.5836,3.964,37.988,,,26.815999999999995,,25.322000000000003
2009-46,4.15,,,,122.876,4.1160000000000005,40.74400000000001,,,22.888,,24.596
2009-47,4.15,,,,120.485,3.9225,40.655,,,20.702499999999997,,24.1475
2009-48,4.15,,,,124.1161,3.7299999999999995,42.209999999999994,,,21.728,,23.512
2009-49,4.25,,,,134.024,3.714,41.932,,,23.34,,21.902
2009-50,4.25,,,,137.156,3.37,39.158,,,24.046,,20.497999999999998
2009-51,4.25,,,,134.71750000000003,3.3375,38.212500000000006,,,24.3575,,19.3625
2009-52,4.25,,,,135.64,3.19,38.1175,,,23.965000000000003,,19.935000000000002
2010-01,4.25,,,,138.608,3.526,37.634,,,25.139999999999997,,20.688000000000002
2010-02,4.25,,,,130.45,3.604,37.238,,,24.712,,21.18
2010-03,4.25,,,,118.73875,3.3074999999999997,36.54,,,22.0425,,19.4825
2010-04,4.25,,,,113.728,3.0759999999999996,35.416,,,20.934,,17.838
2010-05,4.25,,,,116.31599999999999,2.768,34.896,,,20.506,,17.378
2010-06,4.25,,,,112.548,2.5380000000000003,33.686,,,19.52,,16.881999999999998
2010-07,4.25,,,,121.9675,2.7775,34.105,,,20.1,,17.46
2010-08,4.25,,,,106.54400000000001,2.5620000000000003,31.877999999999997,,,18.978,,17.066
2010-09,4.25,,,,107.4375,2.528,29.432,,,19.752000000000002,,16.594
2010-10,4.25,,,,111.006,2.59,30.29,,,20.845999999999997,,16.808
2010-11,4.25,,,,114.623,2.648,29.874000000000002,,,21.012,,16.736
2010-12,4.25,,,,111.876,2.67,28.444,,,18.284,,17.5202
2010-13,4.35,,,,121.37500000000001,2.7550000000000003,28.205,,,18.9575,,18.035
2010-14,4.7,,,,123.95,2.848,29.406,,,18.784,,19.198
2010-15,4.7,,,,131.88600000000002,3.0100000000000002,30.856,,,18.338,,20.144
2010-16,4.7,,,,133.044,2.782,30.866000000000003,,,18.195999999999998,,20.318
2010-17,4.7,,,,136.658,2.4059999999999997,31.877999999999997,,,17.066000000000003,,20.404
2010-18,4.7,,,,133.07599999999996,2.1439999999999997,30.462,,,15.626,,18.221999999999998
2010-19,4.7,,,,126.51199999999999,2.168,30.264,,,14.386,,17.686
2010-20,4.7,,,,111.36000000000001,1.9739999999999998,28.625999999999998,,,11.588,,16.54
2010-21,4.7,,,,112.06799999999998,1.8940000000000001,27.594,,,11.776000000000002,,15.884
2010-22,4.7,,,,110.2225,1.85,27.575,,,12.845,,15.432500000000001
2010-23,4.7,,,,105.8115,1.7420000000000002,27.466,,,12.203999999999999,,14.985999999999999
2010-24,4.7,,,,118.14000000000001,1.9300000000000002,29.49,,,14.290000000000001,,16.256
2010-25,4.7,,,,119.83600000000001,1.9119999999999997,28.748,,,13.930000000000001,,15.475999999999999
