Date,Closing Price,Daily Tweets,Pos Sentiment
2016-07-26,3.98,15.0,0.19119999999999998
2016-07-27,4.22,22.0,0.2774090909090909
2016-07-28,4.2,20.0,0.20579999999999998
2016-07-29,4.15,34.0,0.19052941176470586
2016-08-01,4.2,29.0,0.05386206896551724
2016-08-02,4.18,14.0,0.21471428571428572
2016-08-03,4.14,18.0,0.1556666666666667
2016-08-04,4.14,26.0,0.2070384615384615
2016-08-05,4.31,12.0,0.309
2016-08-08,4.3161,18.0,0.07011111111111111
2016-08-09,4.3161,11.0,0.22163636363636366
2016-08-10,4.3161,12.0,0.17500000000000002
2016-08-11,4.4,14.0,0.22935714285714287
2016-08-12,4.39,16.0,0.2404375
2016-08-15,4.4,4.0,0.24725000000000003
2016-08-16,4.4,12.0,0.15758333333333333
2016-08-17,4.31,27.0,0.15674074074074074
2016-08-18,4.63,30.0,0.063
2016-08-19,4.4,28.0,0.24792857142857144
2016-08-22,4.5,25.0,0.27680000000000005
2016-08-23,4.5169,29.0,0.19920689655172416
2016-08-24,4.5169,29.0,0.22113793103448273
2016-08-25,4.5169,19.0,0.2492105263157895
2016-08-26,4.5169,14.0,0.19750000000000004
2016-08-29,4.5169,23.0,0.17047826086956522
2016-08-30,4.5169,29.0,0.1900689655172414
2016-08-31,4.5169,25.0,0.19432
2016-09-01,4.56,20.0,0.20540000000000003
2016-09-02,4.736000000000001,8.0,0.235875
2016-09-06,4.66,10.0,0.09970000000000001
2016-09-07,4.66,18.0,0.10861111111111112
2016-09-08,4.66,15.0,0.23926666666666668
2016-09-09,4.66,20.0,0.11995
2016-09-12,4.66,11.0,0.22690909090909092
2016-09-13,4.59,23.0,0.15943478260869567
2016-09-14,4.573,15.0,0.17993333333333333
2016-09-15,4.573,53.0,0.2457169811320754
2016-09-16,4.573,21.0,0.12552380952380954
2016-09-19,4.573,33.0,0.19354545454545455
2016-09-20,4.69,34.0,0.1215294117647059
2016-09-21,4.69,22.0,0.13681818181818184
2016-09-22,4.69,21.0,0.13923809523809522
2016-09-23,4.85,20.0,0.15715
2016-09-26,4.85,20.0,0.19870000000000002
2016-09-27,4.81,43.0,0.18711627906976744
2016-09-28,4.81,78.0,0.2042820512820513
2016-09-29,4.81,69.0,0.1797246376811594
2016-09-30,4.86,40.0,0.19920000000000002
2016-10-03,4.86,10.0,0.1426
2016-10-04,4.86,22.0,0.22404545454545452
2016-10-05,4.86,17.0,0.1852941176470588
2016-10-06,4.86,20.0,0.26395
2016-10-07,4.86,19.0,0.19305263157894736
2016-10-10,4.86,34.0,0.2992352941176471
2016-10-11,4.44,23.0,0.19595652173913042
2016-10-12,4.44,30.0,0.17523333333333332
2016-10-13,4.44,19.0,0.2638421052631579
2016-10-14,4.47,13.0,0.31846153846153846
2016-10-17,4.5,14.0,0.11299999999999999
2016-10-18,4.57,12.0,0.1729166666666667
2016-10-19,4.57,15.0,0.12040000000000001
2016-10-20,4.57,21.0,0.21038095238095234
2016-10-21,4.7,12.0,0.20866666666666667
2016-10-24,4.73,12.0,0.16649999999999998
2016-10-25,4.66,47.0,0.22059574468085102
2016-10-26,4.66,51.0,0.15854901960784307
2016-10-27,4.66,29.0,0.1826551724137931
2016-10-28,4.66,19.0,0.23457894736842105
2016-10-31,4.66,13.0,0.2573846153846154
2016-11-01,4.48,19.0,0.12163157894736842
2016-11-02,4.4762,60.0,0.14273333333333332
2016-11-03,4.31,30.0,0.16696666666666668
2016-11-04,4.31,36.0,0.1256388888888889
2016-11-07,4.31,38.0,0.2135263157894737
2016-11-08,4.23,42.0,0.2502857142857143
2016-11-09,3.96,13.0,0.22615384615384615
2016-11-10,4.0,31.0,0.23912903225806448
2016-11-11,3.97,14.0,0.2595
2016-11-14,3.8,26.0,0.24792307692307694
2016-11-15,3.8,25.0,0.18064
2016-11-16,3.8,25.0,0.1742
2016-11-17,3.91,22.0,0.27090909090909093
2016-11-18,3.91,17.0,0.14582352941176469
2016-11-21,3.93,21.0,0.2129047619047619
2016-11-22,3.93,19.0,0.15973684210526318
2016-11-23,3.93,14.0,0.1555
2016-11-25,3.93,19.0,0.11126315789473686
2016-11-28,3.93,11.0,0.23200000000000004
2016-11-29,3.93,19.0,0.18699999999999997
2016-11-30,4.22,18.0,0.15094444444444444
2016-12-01,4.22,48.0,0.17608333333333337
2016-12-02,4.22,38.0,0.12560526315789475
2016-12-05,4.22,29.0,0.12351724137931033
2016-12-06,4.22,16.0,0.244875
2016-12-07,4.22,20.0,0.13995000000000002
2016-12-08,4.22,19.0,0.20763157894736842
2016-12-09,3.81,12.0,0.2814166666666667
2016-12-12,3.81,18.0,0.1167777777777778
