CreatedAt,TweetId,AuthorId,TweetText
2021-03-31T13:53:48.000Z,1377257824728797185,1143129486340370432,Superb news for #UKrenewables https://t.co/5Ql3K6446z
2021-03-31T13:40:19.000Z,1377254431499059210,893543500909862912,#India and the #USA have agreed to revamp their strategic energy partnership to focus on greater collaboration in cleaner energy sectors such as bio fuels  and hydrogen production. https://t.co/xoHJ4MI5Vn
2021-03-31T13:28:32.000Z,1377251468034502662,1213783591202607105,Siemens Energy signs long-term service contract with Saudi Aramco https://t.co/vu9HPoD5k5 #energy #utilities #power #energytransition #renewableenergy #electricity #energynews #energyfinance
2021-03-31T13:27:44.000Z,1377251266351542272,317819341,@SiemensGamesa  has confirmed an order from  RWE for the 1400MW  Sofia  offshore wind power project - the first to install its 14MW turbines. https://t.co/nVLNU9bYoh #UK #WorldFirsts https://t.co/T8yIeXeza2
2021-03-31T13:18:45.000Z,1377249004799463427,65641691,Remote Work https://t.co/6q6C2doUib
2021-03-31T13:00:35.000Z,1377244431414403075,291541596,The Egyptian Electricity Transmission Company and Siemens Energy Company signed a contract to raise the capacity and stability of the existing electrical interconnection line between Egypt and Sudan.قناة اليوتيوب https://t.co/2J3oGSE4wD7/7
2021-03-31T12:55:49.000Z,1377243233655291904,3177891710,Additive manufacturing is revolutionizing not only how we produce parts  but also how we repair them. Learn more about how and why this technology is so importance to the energy industry in our free webinar. https://t.co/HNEmAdOuIc
2021-03-31T12:52:28.000Z,1377242391766126595,178719620,RWE has confirmed that Siemens Gamesa will be turbine supplier for the 1.4GW Sofia offshore wind farm in the North Sea. Siemens Gamesa is set to supply ten 14MW turbines for the project. https://t.co/mOul0Ukx1c https://t.co/eXCcdf4o6i
2021-03-31T12:34:42.000Z,1377237918692085761,374056868,Sofia’s giant leap: @SiemensGamesa to deliver 100 SG 14-222 DD #offshorewind turbines to @RWE_AG for 1.4 GW Sofia project!First firm order for flagship turbine with #B108 blades  world’s largest single-cast blade at 108 m long.#strongwindsofchangehttps://t.co/owy3TdzYGW https://t.co/liYJTMNdfx
2021-03-31T12:23:20.000Z,1377235059149742087,1332040600565198849,#SiemensEnergy to supply eight topside modules and support for FPSO vessel offshore South America https://t.co/SFjf2jsYDI
2021-03-31T12:18:00.000Z,1377233717979197440,97465323,Siemens Gamesa Receives Firm Order for 14 MW Offshore Wind Turbineshttps://t.co/wDnnYwn0P9 #offshorewind @SiemensGamesa @RWE_AG @RWE_Presse @RWE_UK
2021-03-31T12:03:21.000Z,1377230031181606920,1070994006786617344,Cheap Batteries Could Soon Make Electric Freight Trucks 50% Cheaper To Own Than Diesel#trucks#cheap https://t.co/Kw1I2II5Gq
