Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2017-07-24,44.98,3.96,7.56,2.37,11.06,13.985999999999999
2017-07-25,45.46,4.11,7.35,2.32,10.99,14.046000000000001
2017-07-26,45.44,4.04,7.3,2.33,11.01,14.023999999999997
2017-07-27,44.81,3.37,7.37,2.25,11.03,13.766
2017-07-28,48.87,3.48,7.48,2.3,11.35,14.695999999999998
2017-07-31,49.31,3.23,7.53,2.26,11.14,14.693999999999999
2017-08-01,49.65,3.23,7.44,2.31,11.39,14.803999999999998
2017-08-02,48.63,3.15,7.19,2.24,9.19,14.080000000000002
2017-08-03,47.3,3.15,7.24,2.25,8.88,13.764
2017-08-04,47.98,3.15,7.27,2.25,9.25,13.979999999999999
2017-08-07,48.57,3.19,7.42,2.38,9.76,14.264000000000001
2017-08-08,47.84,3.21,7.05,2.17,9.35,13.924000000000001
2017-08-09,47.43,3.26,6.84,2.14,9.33,13.8
2017-08-10,46.75,3.08,6.69,2.0,8.96,13.495999999999999
2017-08-11,47.54,3.1,6.82,2.06,9.295,13.763
2017-08-14,48.87,3.05,6.96,2.13,9.49,14.1
2017-08-15,49.09,3.05,6.94,2.09,9.8,14.193999999999999
2017-08-16,49.07,3.05,6.84,2.08,9.55,14.117999999999999
2017-08-17,47.77,3.05,6.65,2.04,9.09,13.719999999999999
2017-08-18,48.06,3.05,6.85,2.12,9.24,13.863999999999999
2017-08-21,45.96,3.05,6.7,2.11,8.84,13.331999999999999
2017-08-22,46.59,3.0,6.71,2.16,8.91,13.474
2017-08-23,46.48,3.0,6.94,2.13,9.05,13.52
2017-08-24,47.2,2.97,7.59,2.17,9.21,13.828000000000003
2017-08-25,47.42,2.97,6.91,2.16,9.18,13.727999999999998
2017-08-28,48.02,2.89,6.93,2.17,9.1,13.822
2017-08-29,48.4,3.11,6.83,2.16,9.02,13.904
2017-08-30,48.09,3.11,6.78,2.13,8.92,13.806000000000001
2017-08-31,46.96,3.11,6.7,2.14,8.84,13.55
2017-09-01,47.84,3.11,6.77,2.19,9.03,13.788
2017-09-05,47.86,3.08,6.92,2.11,9.18,13.830000000000002
2017-09-06,47.35,3.01,7.07,2.14,9.38,13.790000000000001
2017-09-07,47.45,3.02,7.15,2.17,9.42,13.842000000000002
2017-09-08,46.91,2.96,7.04,2.13,8.59,13.526
2017-09-11,47.16,2.96,6.92,2.17,8.36,13.514
2017-09-12,47.48,2.95,6.94,2.17,8.43,13.594
2017-09-13,46.83,2.95,6.83,2.35,8.32,13.456
2017-09-14,48.43,2.83,6.86,2.23,8.57,13.783999999999997
2017-09-15,50.45,2.83,6.72,2.25,8.39,14.128
2017-09-18,48.54,2.64,6.44,2.47,8.45,13.707999999999998
2017-09-19,48.86,2.72,6.05,2.41,8.37,13.681999999999999
2017-09-20,48.85,2.72,6.02,2.74,7.86,13.638000000000002
2017-09-21,48.76,2.66,5.47,2.47,7.37,13.346
2017-09-22,51.41,2.68,5.59,2.57,7.64,13.977999999999998
2017-09-25,46.88,2.65,5.19,2.6,7.11,12.886000000000001
2017-09-26,46.17,2.58,5.4,2.6,7.22,12.794
2017-09-27,47.05,2.58,5.63,2.65,7.31,13.044
2017-09-28,46.14,2.65,5.53,2.62,7.24,12.835999999999999
2017-09-29,45.88,2.59,5.55,2.61,7.29,12.783999999999999
2017-10-02,47.18,2.67,5.53,2.75,7.34,13.094
2017-10-03,47.23,2.73,5.65,2.79,7.24,13.127999999999997
2017-10-04,47.65,2.73,5.63,2.77,7.15,13.186000000000002
2017-10-05,47.93,2.79,5.54,2.85,7.18,13.258
2017-10-06,48.21,2.64,5.58,2.97,7.1,13.3
2017-10-09,46.91,2.8,5.43,2.87,6.95,12.991999999999999
2017-10-10,47.67,2.8,5.45,2.91,6.9,13.146
2017-10-11,47.2,2.96,5.47,2.79,6.86,13.056000000000001
2017-10-12,47.11,2.99,5.39,2.87,6.95,13.062000000000001
2017-10-13,47.6,2.98,5.52,2.8,6.96,13.171999999999997
2017-10-16,47.31,2.98,5.49,2.77,6.74,13.058000000000002
2017-10-17,47.24,2.98,5.54,2.67,6.77,13.040000000000001
2017-10-18,46.94,2.98,5.54,2.55,6.65,12.931999999999999
2017-10-19,47.64,2.98,5.46,2.53,6.69,13.059999999999999
2017-10-20,47.73,2.65,5.57,2.7,6.68,13.065999999999999
2017-10-23,48.92,2.6,5.37,2.66,6.87,13.284
2017-10-24,48.61,2.59,5.44,2.71,6.92,13.254
