Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2016-12-21,49,231,231,231,5.53
2016-12-22,29,135,135,135,5.44
2016-12-23,18,154,154,154,5.23
2016-12-27,11,147,147,147,5.61
2016-12-28,9,87,87,87,5.44
2016-12-29,8,198,198,198,5.33
2016-12-30,8,119,119,119,5.31
2017-01-05,1,144,144,144,5.81
2017-01-06,38,126,126,126,5.8
2017-01-09,35,124,124,124,5.67
2017-01-10,107,224,224,224,6.0
2017-01-11,108,284,284,284,6.4
2017-01-12,78,243,243,243,6.17
2017-01-18,47,182,182,182,6.1
2017-01-19,37,148,148,148,5.81
2017-01-20,43,142,142,142,5.88
2017-01-23,47,146,146,146,5.59
2017-01-24,21,206,206,206,5.65
2017-01-25,15,151,151,151,5.75
2017-01-26,30,155,155,155,5.7
2017-01-27,29,156,156,156,5.55
2017-01-30,26,194,194,194,5.25
2017-01-31,40,165,165,165,5.29
2017-02-01,28,129,129,129,5.57
2017-02-02,48,210,210,210,5.51
2017-02-03,58,206,206,206,5.66
2017-02-06,6,236,236,236,5.57
2017-02-07,24,162,162,162,5.59
2017-02-08,20,210,210,210,5.74
2017-02-09,33,220,220,220,5.73
2017-02-10,53,377,377,377,5.99
2017-02-13,28,230,230,230,6.06
2017-02-14,16,171,171,171,6.04
2017-02-15,38,226,226,226,6.17
2017-02-16,23,372,372,372,6.04
2017-02-17,20,291,291,291,5.96
2017-02-21,23,475,475,475,6.02
2017-02-22,17,579,579,579,5.83
2017-02-23,18,394,394,394,5.91
2017-02-24,12,315,315,315,5.85
2017-02-27,20,187,187,187,5.92
2017-02-28,21,209,209,209,5.69
2017-03-01,43,230,230,230,5.62
2017-03-02,44,229,229,229,5.48
2017-03-03,28,194,194,194,5.41
2017-03-06,23,142,142,142,5.25
2017-03-07,26,221,221,221,5.27
2017-03-08,84,214,214,214,5.24
2017-03-09,97,294,294,294,5.24
2017-03-10,57,206,206,206,5.06
2017-03-13,52,239,239,239,4.96
2017-03-14,44,315,315,315,4.89
2017-03-15,26,162,162,162,5.0
2017-03-16,91,236,236,236,5.1
2017-03-17,81,199,199,199,4.95
2017-03-20,18,205,205,205,4.9
